Category;Nq;NqT;113;114;115;116;117;118;119;121
IPA_Diseases or Functions Annotation_proliferation of leukocyte cell lines;38;169;-1.398793666;1.60828029;-0.688446814;-1.810038981;-2.390831844;-1.835964609;-1.942402995;-2.186141264
IPA_Diseases or Functions Annotation_vascular disease;110;407;-1.316304258;1.471076775;0.174264188;-2.727297872;-1.746759024;-2.803860683;-0.9546786;-3.842969028
IPA_Upstream Regulator_WT1;13;20;-1.660229588;1.609024062;-1.056025896;-1.791630394;-2.61017403;-2.831774107;-1.885062417;-3.449104498
KEGG_PATHWAY_mmu03060:Protein export;26;96;-1.3338488;1.710051622;-2.88303622;-2.603607038;-2.694333119;-3.155483301;-2.384086479;-1.582769615
IPA_Diseases or Functions Annotation_quantity of blood cells;98;400;-0.815603604;0.840532004;-2.054928368;-3.084278058;-1.775634838;-3.22576022;-1.299238762;-2.743282802
GOTERM_BP_DIRECT_GO:0071569~protein ufmylation;6;21;-1.034142492;0.971275347;-1.437468381;-2.224306475;-1.39190434;-1.798145314;-1.812614573;-1.462493272
GOTERM_BP_DIRECT_GO:0009642~response to light intensity;5;25;0.323371643;-0.337760636;-2.604148146;-2.447539698;-0.999241512;-1.94440886;-1.902784386;-1.226939958
IPA_My Lists_Stabilization of DNA;9;31;1.01247024;1.495794393;-0.235676181;-1.669152993;-0.706572821;-2.812043992;-0.098902286;-1.091854378
IPA_Diseases or Functions Annotation_migration of phagocytes;39;155;0.549383809;-0.263936342;-1.150580291;-2.180381519;-2.7502211;-2.948484213;-1.183005288;-1.434137119
GOTERM_BP_DIRECT_GO:0033146~regulation of intracellular estrogen receptor signaling pathway;8;26;-1.655989409;1.566037542;-2.007917809;-2.924326996;-1.904431425;-1.799386485;-1.237657002;-1.06001725
"INTERPRO_IPR009471:Teneurin intracellular; N-terminal";5;20;-0.076132054;0.090430584;-2.244503096;-2.276546341;-2.174147674;-2.004989705;-1.868248883;-0.689556939
IPA_My Lists_affects IGF signaling;8;14;-0.414888993;0.348056769;-2.182536994;-1.885247402;-2.282909741;-0.739038204;-1.191586542;-0.379122701
INTERPRO_IPR006530:YD repeat;5;20;-0.076132054;0.090430584;-2.244503096;-2.276546341;-2.174147674;-2.004989705;-1.868248883;-0.689556939
GOTERM_BP_DIRECT_GO:0097345~mitochondrial outer membrane permeabilization;6;19;0.348927198;-0.317716033;-1.113668686;-2.439760163;-1.764136933;-1.645696476;-1.158709091;-0.205476636
GOTERM_MF_DIRECT_GO:0005047~signal recognition particle binding;7;18;-1.456746439;1.742541099;-1.909252948;-2.916739883;-2.883232798;-2.482648752;-0.210003281;-2.018088603
IPA_Diseases or Functions Annotation_morphology of blood cells;82;406;-1.265826153;1.517371803;-1.43917262;-2.584629397;-2.097167056;-3.289087349;-0.640472667;-1.234768814
IPA_Diseases or Functions Annotation_weight gain;69.5;266;-0.559180835;0.52316544;-0.646176593;-2.449400843;-1.366529101;-1.616076432;0.137577374;-0.392664059
GOTERM_MF_DIRECT_GO:0004866~endopeptidase inhibitor activity;19;89;1.6088306;-1.84495831;-3.567399828;-5.530634814;-2.261430486;-6.687502082;1.133500415;-1.105174301
SMART_SM01127:SM01127;7;32;-1.220791062;1.265356349;-1.390248786;-1.188159397;-1.917698004;-0.974068442;-0.081887646;-1.147790769
IPA_Diseases or Functions Annotation_lung development;66;299;-0.582270221;1.062501561;-1.160892971;-1.357842401;-1.373830681;-1.200074437;0.21024228;-1.598970961
IPA_Diseases or Functions Annotation_respiratory system development;68;338;-0.413222298;0.872056046;-1.67161969;-1.452638298;-1.390027171;-1.148626307;0.165266404;-1.133023759
INTERPRO_IPR004177:DDHD;7;32;-1.220791062;1.265356349;-1.390248786;-1.188159397;-1.917698004;-0.974068442;-0.081887646;-1.147790769
GOTERM_BP_DIRECT_GO:1990592~protein K69-linked ufmylation;6;13;-1.459360506;1.347784713;-1.595075051;-2.523264129;-1.568464637;-1.815853768;-1.345566409;-1.623711929
"INTERPRO_IPR011074:CRAL/TRIO; N-terminal domain";7;33;-1.729120965;1.459086689;-1.511154592;-2.202401689;-2.64853275;-1.736541148;-0.855868999;-1.048208598
GOTERM_MF_DIRECT_GO:0008312~7S RNA binding;10;26;-1.116287962;1.382440924;-2.472912001;-2.779185497;-3.066426504;-3.649588346;-1.111332331;-1.643262178
"GOTERM_CC_DIRECT_GO:0005786~signal recognition particle; endoplasmic reticulum targeting";10;26;-1.116287962;1.382440924;-2.472912001;-2.779185497;-3.066426504;-3.649588346;-1.111332331;-1.643262178
"INTERPRO_IPR001494:Importin-beta; N-terminal";16;78;-0.659266896;1.02355777;-2.401165958;-3.064743101;-1.623461545;-1.890489675;-0.382582673;-1.099018237
SMART_SM00913:SM00913;15;73;-0.747976725;1.1198282;-2.518873944;-3.289931767;-1.563338674;-2.122193356;-0.208912523;-1.146085844
GOTERM_BP_DIRECT_GO:0020027~hemoglobin metabolic process;8;37;0.511148486;-0.375682862;-2.586981523;-3.448536568;-1.801078975;-2.638183153;-0.674893036;-1.538928439
IPA_Ingenuity Canonical Pathways_Small Cell Lung Cancer Signaling;17;70;-1.538315218;1.929007315;-1.363716944;-3.149199783;-1.747274739;-2.249842804;-0.038673522;-1.94008216
GOTERM_CC_DIRECT_GO:0031307~integral component of mitochondrial outer membrane;21;60;-1.396479508;1.241572333;-1.625374587;-3.139206579;-1.235352092;-2.300261647;-0.597371289;-0.563891236
GOTERM_BP_DIRECT_GO:0006614~SRP-dependent cotranslational protein targeting to membrane;14;39;-1.767632754;1.751853752;-2.81644849;-3.298505042;-3.549646;-3.386613851;-0.978557507;-1.639847425
IPA_Diseases or Functions Annotation_initiation of expression of RNA;12;18;0.502173418;-0.12488597;-1.550499756;-1.341191558;-1.455221451;-1.401624215;-0.478495663;1.105825933
IPA_Diseases or Functions Annotation_initiation of translation of mRNA;11;17;0.528300177;-0.129187941;-1.637562543;-1.448814113;-1.58505822;-1.370658689;-0.643877073;1.109427021
IPA_Diseases or Functions Annotation_initiation of translation of protein;11;17;0.528300177;-0.129187941;-1.637562543;-1.448814113;-1.58505822;-1.370658689;-0.643877073;1.109427021
INTERPRO_IPR007052:CS-like domain;10;47;1.95999752;-1.915335625;-4.595098653;-2.701156903;-0.184789829;-1.441859055;-6.362116713;-3.476495068
IPA_My Lists_calcium mediated signaling;9;43;0.730596527;-0.055080986;-1.618697692;-1.323715688;-1.068529032;-0.239153282;-2.489937575;-1.017491036
IPA_Diseases or Functions Annotation_differentiation of cells;115;396;1.467240934;-1.183892617;-2.534412586;-1.781318353;-0.397928561;-1.105898532;-2.97184189;-0.972481697
IPA_Ingenuity Canonical Pathways_Glucocorticoid Receptor Signaling;87;254;0.135320886;-0.172692897;-1.951536995;-1.910499935;-0.310743356;-0.259604833;-3.152702573;-1.700369933
IPA_My Lists_Rho signaling;30;66;0.860203347;-1.078249548;-3.057558698;-0.586616249;-0.237476671;-0.476447402;-2.688704305;-1.364772366
IPA_Diseases or Functions Annotation_disorder of artery;76;289;-0.329974238;0.618744276;-0.14714418;-2.868489319;-1.445006748;-1.072608781;-0.280913054;-1.976893902
GOTERM_MF_DIRECT_GO:0017049~GTP-Rho binding;8;39;-0.851160735;0.789640316;-0.664526756;-1.545653554;-1.407381529;-1.531748415;-2.397863681;-1.749183028
GOTERM_BP_DIRECT_GO:0016082~synaptic vesicle priming;13;60;-0.174778884;0.188752911;-1.515157927;-0.35761195;-0.727292306;0.049031601;-1.512754535;-0.54202324
GOTERM_BP_DIRECT_GO:1904753~negative regulation of vascular associated smooth muscle cell migration;6;23;-0.324125994;0.093480296;-2.289126527;-1.656681513;-1.543432333;-0.256552147;-1.979691714;-1.167023638
GOTERM_BP_DIRECT_GO:0003065~positive regulation of heart rate by epinephrine;6;21;-0.324125994;0.093480296;-2.289126527;-1.656681513;-1.543432333;-0.256552147;-1.979691714;-1.167023638
GOTERM_CC_DIRECT_GO:0032059~bleb;6;29;-0.324125994;0.093480296;-2.289126527;-1.656681513;-1.543432333;-0.256552147;-1.979691714;-1.167023638
INTERPRO_IPR003103:BAG domain;5;14;-1.497532142;1.358750549;-1.736181089;-1.831039089;-1.279959916;-1.098589289;-2.612671293;-1.691231197
SMART_SM00264:BAG;5;14;-1.497532142;1.358750549;-1.736181089;-1.831039089;-1.279959916;-1.098589289;-2.612671293;-1.691231197
GOTERM_CC_DIRECT_GO:0005862~muscle thin filament tropomyosin;9;29;-0.137253749;-0.13578635;-3.177344577;-2.229290707;-1.754196974;0.069038469;-2.117890058;-1.083955272
GOTERM_BP_DIRECT_GO:2001257~regulation of cation channel activity;7;31;1.645411391;-0.681554771;-2.655985096;-0.973288141;-0.933039672;0.57694577;-1.663037767;-0.060720938
IPA_Ingenuity Canonical Pathways_p53 Signaling;29;88;-0.749156396;1.521234939;-0.66565053;-2.952433797;-0.792480075;-0.797087505;-0.204156525;-0.972299955
IPA_Ingenuity Toxicity Lists_p53 Signaling;30;89;-0.637562292;1.375887158;-0.402843711;-2.429993252;-0.569082071;-0.682106058;-0.380592153;-1.09385234
