Protein;Np;Young WT 1;Young WT 2;Old WT 1;Old WT 2;Ht pro 1;Ht pro 2;Hm pro 1;Hm pro 2;Mean z Young WT;Mean z Old WT;Mean z Ht pro;Mean z Hm pro;∆ mean z Old WT;∆ mean z Ht pro;∆ mean z Hm pro;P value Old WT;P value Ht pro;P value Hm pro;Change Old WT;Change Ht pro;Change Hm pro;Artifact
>sp|P28184|MT3_MOUSE Metallothionein-3 OS=Mus musculus GN=Mt3 PE=1 SV=1;1.5;2.540174538;-2.921081671;16.94084027;18.716128;9.261327716;6.950367037;6.281619093;0.593579168;-0.1904535665;17.828484135;8.1058473765;3.4375991305;18.0189377015;8.296300943;3.628052697;8.34032552428822e-05;0.00775477940487556;0.152732170339898;1;1;1;FALSE
>sp|O55042|SYUA_MOUSE Alpha-synuclein OS=Mus musculus GN=Snca PE=1 SV=2;8;-1.81099011;2.008766951;12.99315519;15.79957359;13.05841248;11.07155234;9.70435673;8.527828641;0.0988884205;14.39636439;12.06498241;9.1160926855;14.2974759695;11.9660939895;9.017204265;2.17437745918147e-05;7.09455042566186e-05;0.000429621963442951;1;1;1;FALSE
>sp|P20065|TYB4_MOUSE Thymosin beta-4 OS=Mus musculus GN=Tmsb4x PE=1 SV=1;5;1.304892667;-1.660105678;11.19201687;14.38377312;5.330409625;5.474249814;5.875812008;-2.240071704;-0.1776065055;12.787894995;5.4023297195;1.817870152;12.9655015005;5.579936225;1.9954766575;0.00111445093160797;0.0580360695819887;0.446323173193196;1;1;1;FALSE
>tr|A0A0G2JDL9|A0A0G2JDL9_MOUSE MCG10748, isoform CRA_b OS=Mus musculus GN=Rap1a PE=1 SV=1;1;-1.91790624;1.690935597;10.56604505;9.810408441;4.328014568;2.299758586;4.419508365;-0.130581396;-0.1134853215;10.1882267455;3.313886577;2.1444634845;10.301712067;3.4273718985;2.257948806;0.000468184509843115;0.0830013984956387;0.225455124696354;1;1;1;FALSE
>sp|O35732|CFLAR_MOUSE CASP8 and FADD-like apoptosis regulator OS=Mus musculus GN=Cflar PE=2 SV=2;1;0.228759841;-0.157304164;7.815206896;7.545186518;4.039284563;1.903625872;3.534411751;0.452362144;0.0357278385;7.680196707;2.9714552175;1.9933869475;7.6444688685;2.935727379;1.957659109;0.000201575102931125;0.0317540779022972;0.118371440769832;1;1;1;FALSE
>sp|Q8VCE9|PKHH3_MOUSE Pleckstrin homology domain-containing family H member 3 OS=Mus musculus GN=Plekhh3 PE=2 SV=1;1;1.336423222;-1.402134388;5.052848291;5.942181706;4.403995166;2.628889254;1.830336831;1.56830853;-0.0328555829999999;5.4975149985;3.51644221;1.6993226805;5.5303705815;3.549297793;1.7321782635;0.000868103366823502;0.00953300130152403;0.129840294117624;1;1;1;FALSE
>sp|Q60856|OAS1B_MOUSE Inactive 2'-5'-oligoadenylate synthase 1B OS=Mus musculus GN=Oas1b PE=1 SV=3;1;-0.374380644;0.421395273;5.036680621;5.245423506;2.986673256;1.060503378;2.033574288;1.226344175;0.0235073145;5.1410520635;2.023588317;1.6299592315;5.117544749;2.0000810025;1.606451917;0.000236837494789175;0.0327528962716197;0.0708344393796546;1;1;1;FALSE
>tr|J3QMG5|J3QMG5_MOUSE Protein Gm5786 OS=Mus musculus GN=Gm5786 PE=3 SV=1;1;0.126727279;-0.054550806;5.360330243;4.871499998;2.543002468;1.636198145;3.231608643;1.798962271;0.0360882365;5.1159151205;2.0896003065;2.515285457;5.079826884;2.05351207;2.4791972205;0.000107983556262581;0.0171246018355084;0.00707489737187471;1;1;1;FALSE
>tr|D3Z536|D3Z536_MOUSE Protein Gm8225 OS=Mus musculus GN=Gm8225 PE=3 SV=1;2;0.787564207;-0.741640471;4.233812121;3.818458539;2.199922714;1.398379783;2.229536416;1.974572412;0.022961868;4.02613533;1.7991512485;2.102054414;4.003173462;1.7761893805;2.079092546;0.000501836266192767;0.032007330443697;0.0166219964989855;1;1;1;FALSE
>tr|Q8R4B4|Q8R4B4_MOUSE Down syndrome cell adhesion molecule-like protein (Fragment) OS=Mus musculus PE=2 SV=1;1;1.011066285;-0.976675948;3.726588505;4.178735919;4.592840287;2.725196766;2.510993934;1.763043911;0.0171951685;3.952662212;3.6590185265;2.1370189225;3.9354670435;3.641823358;2.119823754;0.0029218917743752;0.00442199078952272;0.0482042171575584;1;1;1;FALSE
